"city_code","wages_less0.25","wages_0.25to0.5","wages_0.5to1","wages_1to2","wages_2to3","wages_3to5","wages_5to10","wages_10to15","wages_15to20","wages_20to30","wages_30plus","wages_noWage","wages_avg"
1101807,5.61,6.08,23.78,13.18,3.5,3.05,1.7,0.12,0.1,0.01,0.1,42.78,0.814875
1200013,4.34,6.17,24.62,11.5,2.39,2.14,1.06,0.1,0.07,0.05,0.05,47.5,0.6682375
1200054,3.65,5.57,17.23,12.34,3.19,3.12,1.38,0.15,0.04,0.04,0,53.28,0.6881375
1200104,5.67,6.73,23.59,11.75,2.92,3.1,1.74,0.18,0.15,0.05,0.03,44.09,0.7903375
1200138,4.76,6.24,23.5,13.04,2.41,2.46,1.27,0.18,0.15,0.09,0.02,45.89,0.7383
1200179,6.04,6.03,22.91,12.94,2.86,2.1,1.35,0.13,0.12,0.01,0.03,45.48,0.7091375
1200203,4.28,5.58,21.54,12.04,3.14,3.27,2.03,0.25,0.2,0.07,0.07,47.54,0.840075
1200252,5.44,6.54,25.47,11.94,3.36,2.8,1.88,0.3,0.21,0.09,0.05,41.91,0.857
1200302,5.59,6.95,16.79,8.26,1.69,1.85,0.91,0.1,0.04,0.04,0.04,57.73,0.5158625
1200328,4.56,7.21,15.9,7.58,1.87,0.99,0.74,0.05,0.09,0,0.02,60.98,0.4412375
1200336,7.36,7.51,19.11,10.57,2.06,1.86,1.09,0.08,0.05,0.03,0.05,50.24,0.5973375
1200344,4.36,6.73,18.14,11.8,2.56,2.09,1.38,0.08,0.15,0.12,0.05,52.53,0.6815375
1200351,4.11,7.27,15.92,6.77,1.63,0.74,0.38,0.04,0.04,0.01,0.01,63.07,0.3748375
1200385,4.5,6.01,24.07,11.64,2.44,2.03,1.43,0.13,0.1,0.05,0.03,47.56,0.6936125
1200393,4.12,5.69,12.9,9.52,2.15,1.53,0.51,0.07,0.03,0.05,0.03,63.4,0.4598875
1200401,2.16,2.45,22.22,16.58,5.4,5.41,4.09,0.69,0.52,0.25,0.16,40.07,1.3758375
1200427,7.91,9.78,16.22,7.79,1.66,1.17,0.5,0.04,0.02,0.01,0.01,54.88,0.43475
1200435,2.08,3.33,12.72,9.16,2.5,1.41,1.35,0.16,0.13,0.03,0,67.14,0.5208875
1200450,4.99,5.24,24.24,14.83,3.18,2.85,1.8,0.15,0.11,0.1,0.08,42.42,0.851875
1200500,4.76,6.15,23.56,10.23,2.39,2.6,1.25,0.12,0.09,0.05,0.04,48.75,0.6778625
1200609,4.69,6.93,20.17,8.29,1.9,1.89,1.1,0.13,0.09,0.05,0.06,54.7,0.5814375
1200708,5,6.76,22.03,12.2,2.81,2.65,1.56,0.18,0.09,0.06,0.04,46.61,0.744575
1200807,4.51,4.79,24.34,9.62,1.64,1.6,0.8,0.08,0.09,0,0.01,52.52,0.5498375
1300029,2.67,4.56,17.99,9.65,1.72,0.97,0.35,0.07,0.04,0.02,0.03,61.92,0.44125
1300060,3.88,6.25,17.56,5.18,1.09,0.96,0.57,0.03,0.04,0.04,0.01,64.38,0.3746875
1300086,5.9,8.55,20.34,9.28,1.24,1.69,0.59,0.04,0.07,0.03,0.01,52.27,0.5091625
