"city_code","vac.dose1percapita_Coronavac","vac.dose1percapita_Covishield.AZ","vac.dose1percapita_Unknown","vac.dose2percapita_Coronavac","vac.dose2percapita_Covishield.AZ","vac.dose2percapita_Unknown","vac.dose1percapita_total","vac.dose2percapita_total"
3510609,0.0249316067393715,0.00684304645781196,0,0.0129097705012364,1.7361843133267e-05,0,0.0317746531971834,0.0129271323443697
3510708,0.129160255891165,0.0347396550327962,0,0.0608956190784679,0,0,0.163899910923961,0.0608956190784679
3510807,0.109076015727392,0.0299475753604194,0,0.0615334207077326,0.000491480996068152,0,0.139023591087811,0.0620249017038008
3510906,0,0,0,0,0,0,0,0
3511003,0.0925377345182677,0.0284478299713171,0,0.0484788639676494,0,0,0.120985564489585,0.0484788639676494
3511102,0.121031535466175,0.0379029690523033,0,0.102361690490379,4.08173261385993e-05,0,0.158934504518478,0.102402507816518
3511201,0.0939528962444303,0.0257161043921069,0,0.0630171865054106,0,0,0.119669000636537,0.0630171865054106
3511300,0.149475711534346,0.0427990584207147,0,0.101968756687353,0,0,0.192274769955061,0.101968756687353
3511409,0.110247139814769,0.0256054677826754,0,0.0612153929968798,0,0,0.135852607597444,0.0612153929968798
3511508,0.0758804867274407,0.0219669892775391,0,0.0286133087024617,0,0,0.0978474760049797,0.0286133087024617
3511607,0.084734693877551,0.0183401360544218,0,0.0493061224489796,0,0,0.103074829931973,0.0493061224489796
3511706,0.0857948983704727,0.0155467265503541,0,0.0509011343352335,0,0,0.101341624920827,0.0509011343352335
3511904,0.0746831106543337,0.026036313806098,0,0.0672604773324198,0,0,0.100719424460432,0.0672604773324198
3512001,0.102940383059077,0.0261667116266523,0,0.0579983814405179,0.000161855948206097,0,0.12910709468573,0.058160237388724
3512100,0.105855855855856,0.0275096525096525,0,0.074002574002574,0.000160875160875161,0,0.133365508365508,0.0741634491634492
3512209,0.108124358929014,0.0252537756870513,0,0.0658932550489867,0.000106108301206098,0,0.133378134616065,0.0659993633501928
3512308,0.0996170708696376,0.0288584272157167,0,0.0542205449802986,0,0,0.128475498085354,0.0542205449802986
3512407,0.0853540642874406,0.0248932570692016,0,0.0552243615564328,4.02803512446629e-05,0,0.110247321356642,0.0552646419076774
3512506,0,0.0279001468428781,0,0,0,0,0.0279001468428781,0
3512605,0.162028047464941,0.0491909385113269,0,0.124056094929881,0,0,0.211218985976268,0.124056094929881
