"city_code","pop.urban","pop.rural"
2404408,74.94,25.06
2404507,35.53,64.47
2404606,12.7,87.3
2404705,38.85,61.15
2404804,90.95,9.05
2404853,82.24,17.76
2404903,86.07,13.93
2405009,67.29,32.71
2405108,58.14,41.86
2405207,74.69,25.31
2405306,35.61,64.39
2405405,74.38,25.62
2405504,16.61,83.39
2405603,78.45,21.55
2405702,81.19,18.81
2405801,70.3,29.7
2405900,44.83,55.17
2406007,60.36,39.64
2406106,59.73,40.27
2406155,26.8,73.2
2406205,63.95,36.05
2406304,32.01,67.99
2406403,67.2,32.8
2406502,48.64,51.36
2406601,66.17,33.83
2406700,77.72,22.28
2406809,51.82,48.18
2406908,62.76,37.24
2407005,69.57,30.43
2407104,61.37,38.63
2407203,76.03,23.97
2407252,82.01,17.99
2407302,59.21,40.79
2407401,61.28,38.72
2407500,37.25,62.75
2407609,86.87,13.13
2407708,77.72,22.28
2407807,43.52,56.48
2407906,56.74,43.26
2408003,91.31,8.69
2408102,100,0
