"city_code","pop.edu.kindergarten","pop.edu.pre","pop.edu.literacy","pop.edu.literacy_adults","pop.edu.elem","pop.edu.elem_adults","pop.edu.high","pop.edu.high_adults","pop.edu.undergrad","pop.edu.grad","pop.edu.master","pop.edu.doc","pop.edu.public","pop.edu.private"
1502954,2.18,5.71,7.24,2.11,62.63,5.27,8.56,2.43,3.44,0.43,0,0,94.08,5.92
1503002,7.81,10.86,7.8,0.92,51.93,3.51,9.72,4.31,2.36,0.77,0,0,96.11,3.89
1503044,0.8,9.47,6.51,1.19,60.5,3.42,11.12,2.65,3.97,0.37,0,0,95.2,4.8
1503077,2.05,13.39,4.2,1.75,63.1,1.99,8.98,0.82,3.08,0.65,0,0,96.26,3.74
1503093,2.79,13.19,7.39,1.56,54.53,6.6,8.11,3.08,2.27,0.48,0,0,94.87,5.13
1503101,4.18,8.85,5.28,2.8,62.63,4.19,9.02,0.89,1.79,0.3,0.08,0,99.1,0.9
1503200,2.53,9.68,3.38,1.05,58.35,5.1,13.13,2.68,3.62,0.48,0,0,89.47,10.53
1503309,1.87,12.35,4.48,1.06,60,2.87,12.1,1.9,2.93,0.46,0,0,95.62,4.38
1503408,4.08,8.96,4.6,0.47,58.79,5.02,12.57,3.09,2.11,0.17,0,0.13,96.43,3.57
1503457,3.11,8.97,5.85,2.91,59.37,5.1,11.77,1.4,1.52,0,0,0,98.76,1.24
1503507,2.04,9.57,5.89,0.41,60.96,5.65,10.68,1.35,2.92,0.42,0.1,0,95.99,4.01
1503606,1.55,10.3,5.47,0.9,55.69,3.8,14.39,2.57,4.98,0.3,0.06,0,83.08,16.92
1503705,1.83,5.84,8.07,1.23,62.73,5.38,10.27,1.84,2.67,0.15,0,0,94.94,5.06
1503754,4.61,6.99,8.77,10.55,56.06,3.56,5.37,1.94,2.15,0,0,0,97.99,2.01
1503804,2.26,11.14,6.89,1.99,53.71,4.16,13.94,2.82,2.78,0.25,0.06,0,90.4,9.6
1503903,2.37,11.38,5.8,1.33,58.87,3.8,10.6,1.95,3.6,0.29,0,0,96.98,3.02
1504000,1.74,7.03,9.62,0.94,64.88,2.61,9.28,0.4,3.28,0.22,0,0,95.42,4.58
1504059,2.18,11.19,5.36,1.95,57.42,5.14,11.07,2.68,2.87,0,0.14,0,90.09,9.91
1504109,5.63,10.12,7.64,0.13,51.1,7.33,12.46,3.72,1.63,0.22,0,0,99.06,0.94
1504208,2.17,8.63,6.92,1.19,51.16,3.78,14.93,2.94,7.62,0.57,0.1,0,84.36,15.64
1504307,3.71,10.18,3.03,0.78,61.16,2.79,15.07,0.96,2.03,0.3,0,0,97.22,2.78
1504406,0.91,8.76,4.43,0.77,63.74,2.94,15.94,0.94,1.35,0.23,0,0,96.84,3.16
1504422,4.66,8.69,5.65,0.65,51.54,3.28,17.31,3.74,4.18,0.16,0.1,0.04,89.67,10.33
1504455,1.39,9.02,7.35,2.51,59.32,3.64,12.89,0.98,2.28,0.48,0.15,0,96.72,3.28
1504505,1.29,9.38,5.09,5.15,69.92,1.96,3.65,0.3,3.02,0.23,0,0,97.37,2.63
1504604,1.5,14.51,2.54,1.99,58.17,3.33,12.43,1.24,3.86,0.43,0,0,95.13,4.87
1504703,1.68,7.96,5.55,1.58,62.42,4.71,11.12,1.32,3.5,0.16,0,0,97.5,2.5
1504802,2.98,9.19,4.11,1.5,61.23,3.29,11.57,2.67,3.36,0.11,0,0,97.24,2.76
1504901,1.95,5.95,4.99,4.55,64.11,1.9,12.31,1.78,2.28,0.18,0,0,98.54,1.46
1504950,3.09,9.25,4.05,1.88,61.35,5.86,8.4,2.25,3.1,0.61,0,0.16,96.93,3.07
1504976,3.78,5.5,9.12,0.54,61.21,2.9,12.67,1.83,2.18,0.19,0.09,0,97.36,2.64
1505007,0.74,10.45,6.07,0.66,58.07,3.79,14.42,1.59,4,0.2,0,0,97.88,2.12
