"city_code","pop.white","pop.black","pop.asian","pop.pardos","pop.indigenous","pop.others"
5007935,30.58,7.22,0.33,61.51,0.36,0
5007950,31.62,2.96,0.19,30.06,35.17,0
5007976,37.05,4.84,1.25,55.99,0.86,0
5008008,47.1,3.98,0.95,46.42,1.55,0
5008305,46.16,6.48,1.14,46.15,0.04,0.04
5008404,47.25,3.56,1.09,47.73,0.36,0
5100102,21.77,6.7,2.46,68.81,0.26,0
5100201,40.87,5.73,1.94,50.16,1.29,0
5100250,43.29,5.31,1.61,49.69,0.09,0
5100300,43.42,6.89,1.13,48.41,0.07,0.08
5100359,25.12,9.37,1.02,49.8,14.69,0
5100409,46.41,6.14,1.99,44.83,0.64,0
5100508,16.04,9.1,0.4,74.2,0.26,0
5100607,49.5,4.22,0.56,45.72,0,0
5100805,39,7.86,1.46,49.23,2.46,0
5101001,26.4,6.08,2.47,64.96,0.09,0
5101209,41.46,2.97,0.35,55.23,0,0
5101258,36.61,3.93,0.62,58.81,0.03,0
5101308,26.75,14.22,2.18,56.85,0,0
5101407,40.53,7.27,1.04,49.02,2.14,0
5101605,15.7,6.92,0.47,76.02,0.89,0
5101704,29.5,8.56,1.68,58.25,2,0
5101803,33.88,5.64,0.73,54.01,5.73,0
5101852,27.06,3.87,2.1,66.75,0.22,0
5101902,43.77,4.3,0.97,40.59,10.36,0
5102504,29.02,8.43,1.17,61.1,0.28,0
5102603,19.63,3,0.41,20.44,56.52,0
5102637,46.06,7.49,1.1,44.62,0.68,0.04
5102678,43.68,6.79,0.76,48.64,0.13,0
5102686,53.57,7.53,2.05,36.85,0,0
5102694,28.93,10.12,0.81,59.01,1.14,0
5102702,43.54,5.3,0.78,42.56,7.74,0.08
5102793,39.73,4.55,0.99,54.46,0.27,0
5102850,45.48,5.17,1.84,47.47,0.04,0
5103007,19.01,7.52,0.23,72.65,0.59,0
5103056,49.32,5.44,0.47,43.46,0.39,0.92
5103106,29.61,6.87,0.94,60.54,2.04,0
5103205,47.62,4.97,0.63,46.77,0,0
5103254,36.86,7.96,1.4,53.41,0.37,0
5103304,37.26,5.78,1.18,49.08,6.7,0
5103353,29.16,6.28,1.91,60.56,2.09,0
5103361,41.02,8.86,1.63,42.31,6.19,0
5103379,40.46,2.95,0.16,56.11,0.32,0
5103403,32.83,10.28,1.5,55.01,0.38,0
5103437,35.48,2.93,0.19,61.1,0.3,0
5103452,29.61,6.48,0.48,63.42,0,0
5103502,39.24,6.45,0.78,53.08,0.45,0
5103601,27.25,3.32,0.06,69.36,0,0
5103700,46.07,4.74,0.98,38.02,10.19,0
5103809,42.9,6.21,0.51,50.38,0,0
5103858,39.39,3.67,0.79,21.53,34.61,0
5103908,22.4,4.31,0.59,44.96,27.74,0
5103957,54.59,4.66,0.16,40.39,0.21,0
5104104,48.97,3.34,0.53,47.14,0.02,0
5104203,30.8,5.65,0.62,62.85,0.07,0
5104500,36.48,10.12,2.01,51.39,0,0
5104526,55.69,3.64,0.12,40.55,0,0
5104542,55.01,4.4,0.25,40.33,0,0
5104559,45.87,6.67,0.22,46.84,0.4,0
5104609,38.16,5.42,0.78,55.64,0,0
5104807,41.21,5.04,1.07,52.61,0.07,0
5104906,13.67,2.64,0.81,82.88,0,0
5105002,37.68,5.11,0.77,56.44,0,0
5105101,42.39,6.85,1.75,45.02,3.99,0
5105150,49.63,4.68,0.98,43.82,0.88,0
5105176,47.76,4.96,1.19,46.1,0,0
5105200,33.5,5.71,1.29,59.47,0.03,0
5105234,35.92,8.46,2.06,53.56,0,0
5105259,54.04,5.06,0.88,40,0.03,0
